,duration,lon,trip_id,lat
147,2588,-74.01405,3,40.71431
148,2597,-74.01404,3,40.71427
149,2606,-74.014,3,40.71417
150,2615,-74.01404,3,40.71397
151,2624,-74.01414,3,40.71374
152,2633,-74.01415,3,40.71364
153,2642,-74.01422,3,40.71345
154,2651,-74.0143,3,40.71332
155,2660,-74.01451,3,40.71262
156,2669,-74.0147,3,40.71188
157,2678,-74.01469,3,40.71179
158,2687,-74.01479,3,40.71131
159,2696,-74.0149,3,40.71097
160,2705,-74.015,3,40.71074
161,2714,-74.01517,3,40.7102
162,2723,-74.01519,3,40.70995
163,2732,-74.0154,3,40.70914
164,2741,-74.01585,3,40.7079
165,2750,-74.0161,3,40.7073
166,2759,-74.01618,3,40.70715
167,2768,-74.01635,3,40.70676
168,2777,-74.01641,3,40.70659
169,2786,-74.01646,3,40.70636
170,2795,-74.01697,3,40.70504
171,2804,-74.01709,3,40.7047
172,2813,-74.01707,3,40.70466
173,2822,-74.01703,3,40.70464
174,2831,-74.0167,3,40.70463
175,2840,-74.01644,3,40.70463
176,2849,-74.01625,3,40.70461
177,2858,-74.01588,3,40.70465
178,2867,-74.0154,3,40.70461
179,2876,-74.0151,3,40.70455
180,2885,-74.01499,3,40.7045
181,2894,-74.01479,3,40.70436
182,2903,-74.01472,3,40.70426
183,2912,-74.01467,3,40.70415
184,2921,-74.0147,3,40.70395
185,2930,-74.01471,3,40.70389
186,2939,-74.01468,3,40.70379
187,2948,-74.01465,3,40.70362
188,2957,-74.01473,3,40.70336
189,2966,-74.01478,3,40.70332
190,2975,-74.01478,3,40.70311
191,2984,-74.01475,3,40.70292
192,2993,-74.01467,3,40.70277
193,3002,-74.01453,3,40.70255
194,3011,-74.01435,3,40.70237
195,3020,-74.01423,3,40.70226
196,3029,-74.01412,3,40.70223
197,3038,-74.01388,3,40.70223
198,3047,-74.01362,3,40.70225
199,3056,-74.01336,3,40.70227
200,3065,-74.01297,3,40.70227
201,3074,-74.01292,3,40.70222
202,3083,-74.01286,3,40.70194
